SECT,Sector,CLAS,Classification,COU,Country,YEA,Year,EEA_STRI,Flag Codes,Flags
PSLEG,Legal,STRI,Indicator STRI,EST,Estonia,2018,2018,0.050119888,,
ASMOT,Motion pictures,STRI,Indicator STRI,EST,Estonia,2014,2014,0.02750233,,
ASMOT,Motion pictures,STRI,Indicator STRI,EST,Estonia,2015,2015,0.02750233,,
ASMOT,Motion pictures,STRI,Indicator STRI,EST,Estonia,2016,2016,0.02750233,,
ASMOT,Motion pictures,STRI,Indicator STRI,EST,Estonia,2017,2017,0.02750233,,
ASMOT,Motion pictures,STRI,Indicator STRI,EST,Estonia,2018,2018,0.02750233,,
ASBRD,Broadcasting,STRI,Indicator STRI,EST,Estonia,2014,2014,0.0659374,,
ASBRD,Broadcasting,STRI,Indicator STRI,EST,Estonia,2015,2015,0.0659374,,
ASBRD,Broadcasting,STRI,Indicator STRI,EST,Estonia,2016,2016,0.058037069,,
ASBRD,Broadcasting,STRI,Indicator STRI,EST,Estonia,2017,2017,0.058037069,,
ASBRD,Broadcasting,STRI,Indicator STRI,EST,Estonia,2018,2018,0.0659374,,
ASSOU,Sound recording,STRI,Indicator STRI,EST,Estonia,2014,2014,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,EST,Estonia,2015,2015,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,EST,Estonia,2016,2016,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,EST,Estonia,2017,2017,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,EST,Estonia,2018,2018,0.032873109,,
TC,Telecom,STRI,Indicator STRI,EST,Estonia,2018,2018,0.068808421,,
TRAIR,Air transport,STRI,Indicator STRI,EST,Estonia,2014,2014,0.148861274,,
TRAIR,Air transport,STRI,Indicator STRI,EST,Estonia,2015,2015,0.148861274,,
TRAIR,Air transport,STRI,Indicator STRI,EST,Estonia,2016,2016,0.137366191,,
TRAIR,Air transport,STRI,Indicator STRI,EST,Estonia,2017,2017,0.137366191,,
TRAIR,Air transport,STRI,Indicator STRI,EST,Estonia,2018,2018,0.137366191,,
TRMAR,Maritime transport,STRI,Indicator STRI,EST,Estonia,2014,2014,0.020422535,,
TRMAR,Maritime transport,STRI,Indicator STRI,EST,Estonia,2015,2015,0.020422535,,
TRMAR,Maritime transport,STRI,Indicator STRI,EST,Estonia,2016,2016,0.020422535,,
TRMAR,Maritime transport,STRI,Indicator STRI,EST,Estonia,2017,2017,0.020422535,,
TRMAR,Maritime transport,STRI,Indicator STRI,EST,Estonia,2018,2018,0.020422535,,
TRROF,Road freight transport,STRI,Indicator STRI,EST,Estonia,2014,2014,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,EST,Estonia,2015,2015,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,EST,Estonia,2016,2016,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,EST,Estonia,2017,2017,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,EST,Estonia,2018,2018,0.012121212,,
TRRAI,Rail freight transport,STRI,Indicator STRI,EST,Estonia,2014,2014,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,EST,Estonia,2015,2015,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,EST,Estonia,2016,2016,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,EST,Estonia,2017,2017,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,EST,Estonia,2018,2018,0.058673915,,
CR,Courier,STRI,Indicator STRI,EST,Estonia,2014,2014,0.055810973,,
CR,Courier,STRI,Indicator STRI,EST,Estonia,2015,2015,0.055810973,,
CR,Courier,STRI,Indicator STRI,EST,Estonia,2016,2016,0.055810973,,
CR,Courier,STRI,Indicator STRI,EST,Estonia,2017,2017,0.055810973,,
CR,Courier,STRI,Indicator STRI,EST,Estonia,2018,2018,0.055810973,,
DS,Distribution,STRI,Indicator STRI,EST,Estonia,2014,2014,0.026961261,,
DS,Distribution,STRI,Indicator STRI,EST,Estonia,2015,2015,0.026961261,,
DS,Distribution,STRI,Indicator STRI,EST,Estonia,2016,2016,0.026961261,,
DS,Distribution,STRI,Indicator STRI,EST,Estonia,2017,2017,0.026961261,,
DS,Distribution,STRI,Indicator STRI,EST,Estonia,2018,2018,0.026961261,,
FSBNK,Commercial banking,STRI,Indicator STRI,EST,Estonia,2014,2014,0.038601346,,
FSBNK,Commercial banking,STRI,Indicator STRI,EST,Estonia,2015,2015,0.038601346,,
FSBNK,Commercial banking,STRI,Indicator STRI,EST,Estonia,2016,2016,0.038601346,,
FSBNK,Commercial banking,STRI,Indicator STRI,EST,Estonia,2017,2017,0.038601346,,
FSBNK,Commercial banking,STRI,Indicator STRI,EST,Estonia,2018,2018,0.038601346,,
FSINS,Insurance,STRI,Indicator STRI,EST,Estonia,2014,2014,0.012638556,,
FSINS,Insurance,STRI,Indicator STRI,EST,Estonia,2015,2015,0.012638556,,
FSINS,Insurance,STRI,Indicator STRI,EST,Estonia,2016,2016,0.012638556,,
FSINS,Insurance,STRI,Indicator STRI,EST,Estonia,2017,2017,0.012638556,,
FSINS,Insurance,STRI,Indicator STRI,EST,Estonia,2018,2018,0.012638556,,
CS,Computer,STRI,Indicator STRI,EST,Estonia,2014,2014,0.015950257,,
CS,Computer,STRI,Indicator STRI,EST,Estonia,2015,2015,0.015950257,,
CS,Computer,STRI,Indicator STRI,EST,Estonia,2016,2016,0.015950257,,
CS,Computer,STRI,Indicator STRI,EST,Estonia,2017,2017,0.015950257,,
CS,Computer,STRI,Indicator STRI,EST,Estonia,2018,2018,0.015950257,,
CO,Construction,STRI,Indicator STRI,EST,Estonia,2014,2014,0.022483815,,
CO,Construction,STRI,Indicator STRI,EST,Estonia,2015,2015,0.022483815,,
CO,Construction,STRI,Indicator STRI,EST,Estonia,2016,2016,0.022483815,,
CO,Construction,STRI,Indicator STRI,EST,Estonia,2017,2017,0.022483815,,
CO,Construction,STRI,Indicator STRI,EST,Estonia,2018,2018,0.022483815,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.061280601,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.072278723,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.050282486,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.050282486,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.050282486,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.046297409,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.057991907,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.034602907,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.034602907,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.034602907,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.025354924,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.038599357,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.012110491,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.012110491,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.012110491,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.037608936,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.049961925,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.025255945,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.025255945,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.025255945,,
PSACC,Accounting,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.059450436,,
PSACC,Accounting,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.068279929,,
PSACC,Accounting,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.050620943,,
PSACC,Accounting,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.050620943,,
PSACC,Accounting,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.050620943,,
PSARC,Architecture,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.060856536,,
PSARC,Architecture,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.074150823,,
PSARC,Architecture,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.047562249,,
PSARC,Architecture,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.047562249,,
PSARC,Architecture,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.047562249,,
PSENG,Engineering,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.037917085,,
PSENG,Engineering,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.051239818,,
PSENG,Engineering,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.024594355,,
PSENG,Engineering,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.024594355,,
PSENG,Engineering,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.024594355,,
PSLEG,Legal,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.020988386,,
PSLEG,Legal,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.028960235,,
PSLEG,Legal,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.013016536,,
PSLEG,Legal,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.013016536,,
PSLEG,Legal,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.013016536,,
ASMOT,Motion pictures,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.037164167,,
ASMOT,Motion pictures,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.046826001,,
ASMOT,Motion pictures,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.02750233,,
ASMOT,Motion pictures,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.02750233,,
ASMOT,Motion pictures,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.02750233,,
ASBRD,Broadcasting,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.080066845,,
ASBRD,Broadcasting,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.08614403,,
ASBRD,Broadcasting,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.073989667,,
ASBRD,Broadcasting,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.073989667,,
ASBRD,Broadcasting,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.073989667,,
ASSOU,Sound recording,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.046679817,,
ASSOU,Sound recording,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.060486522,,
ASSOU,Sound recording,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.032873109,,
TC,Telecom,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.051331993,,
TRAIR,Air transport,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.159709752,,
TRAIR,Air transport,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.164810702,,
TRAIR,Air transport,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.154608816,,
TRAIR,Air transport,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.154608816,,
TRAIR,Air transport,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.148861274,,
TRMAR,Maritime transport,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.01971831,,
TRMAR,Maritime transport,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.025821596,,
TRMAR,Maritime transport,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.013615023,,
TRMAR,Maritime transport,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.013615023,,
TRMAR,Maritime transport,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.013615023,,
TRROF,Road freight transport,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.015151515,,
TRROF,Road freight transport,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.018181818,,
TRROF,Road freight transport,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.012121212,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.09932071,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.110630557,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.08801087,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.08801087,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.08801087,,
CR,Courier,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.055810973,,
CR,Courier,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.077942908,,
CR,Courier,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.056131724,,
CR,Courier,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.056131724,,
CR,Courier,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.056131724,,
DS,Distribution,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.034869574,,
DS,Distribution,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.034869574,,
DS,Distribution,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.034869574,,
DS,Distribution,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.034869574,,
DS,Distribution,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.034869574,,
FSBNK,Commercial banking,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.029673457,,
FSBNK,Commercial banking,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.039757259,,
FSBNK,Commercial banking,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.019589651,,
FSBNK,Commercial banking,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.019589651,,
FSBNK,Commercial banking,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.019589651,,
FSINS,Insurance,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.015787147,,
FSINS,Insurance,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.025048794,,
FSINS,Insurance,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.006525502,,
FSINS,Insurance,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.006525502,,
FSINS,Insurance,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.006525502,,
CS,Computer,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.034685612,,
CS,Computer,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.053420968,,
CS,Computer,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.015950257,,
CS,Computer,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.015950257,,
CS,Computer,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.015950257,,
CO,Construction,STRI,Indicator STRI,LVA,Latvia,2014,2014,0.037831858,,
CO,Construction,STRI,Indicator STRI,LVA,Latvia,2015,2015,0.037831858,,
CO,Construction,STRI,Indicator STRI,LVA,Latvia,2016,2016,0.037831858,,
CO,Construction,STRI,Indicator STRI,LVA,Latvia,2017,2017,0.037831858,,
CO,Construction,STRI,Indicator STRI,LVA,Latvia,2018,2018,0.037831858,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.041167609,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.030169493,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.030169493,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.030169493,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.030169493,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.035604149,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.023909647,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.023909647,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.023909647,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.023909647,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.025354924,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.012110491,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.012110491,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.012110491,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.012110491,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.037608936,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.025255945,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.025255945,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.025255945,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.025255945,,
PSACC,Accounting,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.069310568,,
PSACC,Accounting,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.060481079,,
PSACC,Accounting,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.060481079,,
PSACC,Accounting,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.060481079,,
PSACC,Accounting,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.060481079,,
PSARC,Architecture,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.072013058,,
PSARC,Architecture,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.058718771,,
PSARC,Architecture,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.058718771,,
PSARC,Architecture,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.058718771,,
PSARC,Architecture,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.058718771,,
PSENG,Engineering,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.022401247,,
PSENG,Engineering,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.009078517,,
PSENG,Engineering,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.009078517,,
PSENG,Engineering,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.009078517,,
PSENG,Engineering,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.009078517,,
PSLEG,Legal,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.088266432,,
PSLEG,Legal,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.080294587,,
PSLEG,Legal,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.080294587,,
PSLEG,Legal,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.080294587,,
PSLEG,Legal,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.080294587,,
ASMOT,Motion pictures,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.044283412,,
ASMOT,Motion pictures,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.034621578,,
ASMOT,Motion pictures,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.034621578,,
ASMOT,Motion pictures,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.034621578,,
ASMOT,Motion pictures,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.034621578,,
ASBRD,Broadcasting,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.053934973,,
ASBRD,Broadcasting,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.047857791,,
ASBRD,Broadcasting,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.047857791,,
ASBRD,Broadcasting,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.047857791,,
ASBRD,Broadcasting,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.047857791,,
ASSOU,Sound recording,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.046679817,,
ASSOU,Sound recording,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.032873109,,
ASSOU,Sound recording,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.032873109,,
TC,Telecom,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.025117347,,
TRAIR,Air transport,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.142467126,,
TRAIR,Air transport,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.137366191,,
TRAIR,Air transport,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.137366191,,
TRAIR,Air transport,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.137366191,,
TRAIR,Air transport,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.137366191,,
TRMAR,Maritime transport,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.026525822,,
TRMAR,Maritime transport,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.020422535,,
TRMAR,Maritime transport,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.013615023,,
TRMAR,Maritime transport,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.013615023,,
TRMAR,Maritime transport,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.013615023,,
TRROF,Road freight transport,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.015151515,,
TRROF,Road freight transport,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.012121212,,
TRROF,Road freight transport,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.012121212,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.069983758,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.058673915,,
TRRAI,Rail freight transport,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.058673915,,
CR,Courier,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.055810973,,
CR,Courier,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.044905379,,
CR,Courier,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.044905379,,
CR,Courier,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.044905379,,
CR,Courier,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.044905379,,
DS,Distribution,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.044481214,,
DS,Distribution,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.044481214,,
DS,Distribution,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.044481214,,
DS,Distribution,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.044481214,,
DS,Distribution,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.035721239,,
FSBNK,Commercial banking,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.029095501,,
FSBNK,Commercial banking,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.029673457,,
FSBNK,Commercial banking,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.029673457,,
FSBNK,Commercial banking,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.029673457,,
FSBNK,Commercial banking,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.029673457,,
FSINS,Insurance,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.015787147,,
FSINS,Insurance,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.006525502,,
FSINS,Insurance,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.006525502,,
FSINS,Insurance,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.006525502,,
FSINS,Insurance,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.006525502,,
CS,Computer,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.034685612,,
CS,Computer,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.015950257,,
CS,Computer,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.015950257,,
CS,Computer,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.015950257,,
CS,Computer,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.015950257,,
CO,Construction,STRI,Indicator STRI,LTU,Lithuania,2014,2014,0.048535511,,
CO,Construction,STRI,Indicator STRI,LTU,Lithuania,2015,2015,0.048535511,,
CO,Construction,STRI,Indicator STRI,LTU,Lithuania,2016,2016,0.048535511,,
CO,Construction,STRI,Indicator STRI,LTU,Lithuania,2017,2017,0.048535511,,
CO,Construction,STRI,Indicator STRI,LTU,Lithuania,2018,2018,0.035509665,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,SVN,Slovenia,2014,2014,0.128738239,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,SVN,Slovenia,2015,2015,0.128738239,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,SVN,Slovenia,2016,2016,0.118681736,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,SVN,Slovenia,2017,2017,0.118681736,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,SVN,Slovenia,2018,2018,0.118681736,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,SVN,Slovenia,2014,2014,0.104809962,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,SVN,Slovenia,2015,2015,0.104809962,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,SVN,Slovenia,2016,2016,0.104809962,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,SVN,Slovenia,2017,2017,0.104809962,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,SVN,Slovenia,2018,2018,0.104809962,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,SVN,Slovenia,2014,2014,0.025354924,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,SVN,Slovenia,2015,2015,0.025354924,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,SVN,Slovenia,2016,2016,0.025354924,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,SVN,Slovenia,2017,2017,0.025354924,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,SVN,Slovenia,2018,2018,0.025354924,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,SVN,Slovenia,2014,2014,0.037608936,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,SVN,Slovenia,2015,2015,0.037608936,,
